id,capability,repository,url,license_cost_status,overlap_or_replacement,phase,required_credentials,blockers,self_hosting_decision,clone_command,stable_ref_guidance,self_hosting_manifest,stable_ref_status,stable_ref_rationale
immich,integration,immich,https://github.com/immich/immich,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,IMMICH_URL,"immich: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/immich/immich integrations/upstream/immich,reviewed immutable HEAD commit 8c013ccbe797ad2f0af3a9caeae06814e732914b on upstream branch main (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: immich — immich: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
supabase,integration,supabase,https://github.com/supabase/supabase,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,SUPABASE_URL,"supabase: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/supabase/supabase integrations/upstream/supabase,reviewed immutable HEAD commit e351e8a1a44541c8e7e6dd8e778fc87092b0b2c5 on upstream branch master (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: supabase — supabase: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
appwrite,integration,appwrite,https://github.com/appwrite/appwrite,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,APPWRITE_URL,"appwrite: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/appwrite/appwrite integrations/upstream/appwrite,reviewed immutable HEAD commit 0c0dd724d6e888d96cf96dea494868593ae597df on upstream branch main (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: appwrite — appwrite: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
directus,integration,directus,https://github.com/directus/directus,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,DIRECTUS_URL,"directus: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/directus/directus integrations/upstream/directus,reviewed immutable HEAD commit a5da59da94bb33c8d644df93a21403eca4c1a4e7 on upstream branch main (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: directus — directus: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
hasura,integration,hasura,https://github.com/hasura/hasura,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,HASURA_URL,"hasura: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/hasura/hasura integrations/upstream/hasura,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: hasura — hasura: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/hasura/hasura could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
n8n,integration,n8n,https://github.com/n8n/n8n,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,N8N_URL,"n8n: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/n8n/n8n integrations/upstream/n8n,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: n8n — n8n: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/n8n/n8n could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
temporal,workflow,temporal,https://github.com/temporal/temporal,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,TEMPORAL_URL,"temporal: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/temporal/temporal integrations/upstream/temporal,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: temporal — temporal: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/temporal/temporal could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
celery,workflow,celery,https://github.com/celery/celery,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,CELERY_URL,"celery: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/celery/celery integrations/upstream/celery,reviewed immutable HEAD commit eb6547661b8cbe9fce98ebd24fe4ee952b416464 on upstream branch main (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: celery — celery: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
redis,cache,redis,https://github.com/redis/redis,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,REDIS_URL,"redis: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/redis/redis integrations/upstream/redis,reviewed immutable HEAD commit 48cc562064dbb52ef3f9cc1a5aa32db6811f5871 on upstream branch unstable (git ls-remote probe 2026-09-09); pin this SHA before deployment,"blocked record: redis — redis: self-hosting is feasible, but no service image is asserted in this baseline; add a reviewed pinned manifest after runtime validation.",reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
valkey,cache,valkey,https://github.com/valkey/valkey,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,VALKEY_URL,"valkey: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/valkey/valkey integrations/upstream/valkey,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,"blocked record: valkey — valkey: self-hosting is feasible, but no service image is asserted in this baseline; add a reviewed pinned manifest after runtime validation.",unknown/unverified,"The recorded repository URL https://github.com/valkey/valkey could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
postgres,database,postgres,https://github.com/postgres/postgres,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P1,POSTGRES_URL,postgres: local compose profile exists; initialize locally and complete security/license review before use.,self-hostable-local-foundation,git clone --filter=blob:none https://github.com/postgres/postgres integrations/upstream/postgres,reviewed immutable HEAD commit 86f7c82cf1023e3599f40f939727791a7090cd44 on upstream branch master (git ls-remote probe 2026-09-09); pin this SHA before deployment,integrations/compose/docker-compose.yml (profile: core/ledger); initialize and review locally,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
cockroach,database,cockroach,https://github.com/cockroach/cockroach,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,COCKROACH_URL,"cockroach: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/cockroach/cockroach integrations/upstream/cockroach,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: cockroach — cockroach: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/cockroach/cockroach could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
neo4j,database,neo4j,https://github.com/neo4j/neo4j,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,NEO4J_URL,"neo4j: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/neo4j/neo4j integrations/upstream/neo4j,reviewed immutable HEAD commit f213380f812b820a1b312e2ea52cb3d8f1931ccc on upstream branch 2026.07 (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: neo4j — neo4j: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
qdrant,search,qdrant,https://github.com/qdrant/qdrant,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,QDRANT_URL,"qdrant: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/qdrant/qdrant integrations/upstream/qdrant,reviewed immutable HEAD commit 6ab21cac18ebb6f4ae29102c7f8f5cc11affd5de on upstream branch master (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: qdrant — qdrant: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
weaviate,search,weaviate,https://github.com/weaviate/weaviate,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,WEAVIATE_URL,"weaviate: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/weaviate/weaviate integrations/upstream/weaviate,reviewed immutable HEAD commit 0b0a00f6b79478b991d17f4887b51ca17c12d3f5 on upstream branch main (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: weaviate — weaviate: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
meilisearch,search,meilisearch,https://github.com/meilisearch/meilisearch,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,MEILISEARCH_URL,"meilisearch: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/meilisearch/meilisearch integrations/upstream/meilisearch,reviewed immutable HEAD commit a088ecc354a0002d551acbc41bd87e4e72e7a8d8 on upstream branch main (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: meilisearch — meilisearch: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
opensearch,search,opensearch,https://github.com/opensearch/opensearch,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,OPENSEARCH_URL,"opensearch: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/opensearch/opensearch integrations/upstream/opensearch,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: opensearch — opensearch: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/opensearch/opensearch could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
ollama,ai,ollama,https://github.com/ollama/ollama,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,OLLAMA_URL,"ollama: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/ollama/ollama integrations/upstream/ollama,reviewed immutable HEAD commit 86f72929348d384336b6f0adc129e71b2122abdc on upstream branch main (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: ollama — ollama: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
llama-cpp,ai,llama.cpp,https://github.com/ggml-org/llama.cpp,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,LLAMA_CPP_URL,"llama-cpp: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/ggml-org/llama.cpp integrations/upstream/llama-cpp,reviewed immutable HEAD commit 30b6a755e29692e8bc8e072885325716a2fee70f on upstream branch master (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: llama-cpp — llama-cpp: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
vllm,ai,vllm,https://github.com/vllm/vllm,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,VLLM_URL,"vllm: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/vllm/vllm integrations/upstream/vllm,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,"blocked record: vllm — vllm: requires unavailable host capability, Kubernetes, GPU, or privileged networking in this baseline.",unknown/unverified,"The recorded repository URL https://github.com/vllm/vllm could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
litellm,ai,litellm,https://github.com/litellm/litellm,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,LITELLM_URL,"litellm: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/litellm/litellm integrations/upstream/litellm,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: litellm — litellm: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/litellm/litellm could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
langchain,ai,langchain,https://github.com/langchain/langchain,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,LANGCHAIN_URL,"langchain: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/langchain/langchain integrations/upstream/langchain,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: langchain — langchain: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/langchain/langchain could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
llamaindex,ai,llamaindex,https://github.com/llamaindex/llamaindex,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,LLAMAINDEX_URL,"llamaindex: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/llamaindex/llamaindex integrations/upstream/llamaindex,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: llamaindex — llamaindex: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/llamaindex/llamaindex could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
haystack,ai,haystack,https://github.com/haystack/haystack,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,HAYSTACK_URL,"haystack: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/haystack/haystack integrations/upstream/haystack,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: haystack — haystack: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/haystack/haystack could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
dspy,ai,dspy,https://github.com/dspy/dspy,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,DSPY_URL,"dspy: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/dspy/dspy integrations/upstream/dspy,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: dspy — dspy: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/dspy/dspy could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
pytorch,ai,pytorch,https://github.com/pytorch/pytorch,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,PYTORCH_URL,"pytorch: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/pytorch/pytorch integrations/upstream/pytorch,reviewed immutable HEAD commit 6df74531a6e7226f48394c5cb7af2953f2841a2a on upstream branch main (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: pytorch — pytorch: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
tensorflow,ai,tensorflow,https://github.com/tensorflow/tensorflow,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,TENSORFLOW_URL,"tensorflow: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/tensorflow/tensorflow integrations/upstream/tensorflow,reviewed immutable HEAD commit e29f7dcd316835cb5be90bf654cf9a324d162cc3 on upstream branch master (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: tensorflow — tensorflow: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
scikit-learn,ai,scikit-learn,https://github.com/scikit-learn/scikit-learn,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,SCIKIT_LEARN_URL,"scikit-learn: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/scikit-learn/scikit-learn integrations/upstream/scikit-learn,reviewed immutable HEAD commit 2cc7893a2097be891426ca6a4d9ea2e14cf82b9c on upstream branch main (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: scikit-learn — scikit-learn: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
